gene_id,dynamic_module,module,module_label
ENSG00000127452,darkgrey,darkgrey,7
ENSG00000127463,dimgrey,dimgrey,11
ENSG00000127472,silver,silver,29
ENSG00000127481,gainsboro,gainsboro,13
ENSG00000127483,gainsboro,gainsboro,13
ENSG00000127511,dimgrey,dimgrey,11
ENSG00000127526,darkgrey,darkgrey,7
ENSG00000127527,darkgrey,darkgrey,7
ENSG00000127528,dimgrey,dimgrey,11
ENSG00000127533,darkgrey,darkgrey,7
ENSG00000127540,white,white,31
ENSG00000127580,white,white,31
ENSG00000127585,silver,silver,29
ENSG00000127586,dimgrey,dimgrey,11
ENSG00000127603,darkgrey,darkgrey,7
ENSG00000127616,dimgrey,dimgrey,11
ENSG00000127663,gainsboro,gainsboro,13
ENSG00000127666,darkgrey,darkgrey,7
ENSG00000127720,dimgrey,dimgrey,11
ENSG00000127804,darkgrey,darkgrey,7
ENSG00000127824,dimgrey,dimgrey,11
ENSG00000127837,darkgrey,darkgrey,7
ENSG00000127838,dimgrey,dimgrey,11
ENSG00000127863,silver,silver,29
ENSG00000127870,silver,silver,29
ENSG00000127884,darkgrey,darkgrey,7
ENSG00000127914,gainsboro,gainsboro,13
ENSG00000127920,silver,silver,29
ENSG00000127922,dimgrey,dimgrey,11
ENSG00000127946,dimgrey,dimgrey,11
ENSG00000127947,gainsboro,gainsboro,13
ENSG00000127948,firebrick,firebrick,12
ENSG00000127951,gainsboro,gainsboro,13
ENSG00000127952,darkgrey,darkgrey,7
ENSG00000127955,dimgrey,dimgrey,11
ENSG00000127980,silver,silver,29
ENSG00000127989,silver,silver,29
ENSG00000127990,dimgrey,dimgrey,11
ENSG00000127993,dimgrey,dimgrey,11
ENSG00000127995,silver,silver,29
ENSG00000128000,dimgrey,dimgrey,11
ENSG00000128016,silver,silver,29
ENSG00000128039,maroon,maroon,16
ENSG00000128050,dimgrey,dimgrey,11
ENSG00000128059,silver,silver,29
ENSG00000128159,darkgrey,darkgrey,7
ENSG00000128165,darkgrey,darkgrey,7
ENSG00000128185,white,white,31
ENSG00000128191,gainsboro,gainsboro,13
ENSG00000128228,darkgrey,darkgrey,7
ENSG00000128245,dimgrey,dimgrey,11
ENSG00000128266,dimgrey,dimgrey,11
ENSG00000128272,silver,silver,29
ENSG00000128274,gainsboro,gainsboro,13
ENSG00000128283,dimgrey,dimgrey,11
ENSG00000128284,dimgrey,dimgrey,11
ENSG00000128285,maroon,maroon,16
ENSG00000128294,silver,silver,29
ENSG00000128298,darkgrey,darkgrey,7
ENSG00000128309,gainsboro,gainsboro,13
ENSG00000128311,darkgrey,darkgrey,7
ENSG00000128335,dimgrey,dimgrey,11
ENSG00000128340,dimgrey,dimgrey,11
ENSG00000128342,dimgrey,dimgrey,11
ENSG00000128394,dimgrey,dimgrey,11
ENSG00000128408,lightcoral,lightcoral,14
ENSG00000128422,silver,silver,29
ENSG00000128463,dimgrey,dimgrey,11
ENSG00000128482,darkgrey,darkgrey,7
ENSG00000128487,gainsboro,gainsboro,13
ENSG00000128510,dimgrey,dimgrey,11
ENSG00000128512,dimgrey,dimgrey,11
ENSG00000128513,silver,silver,29
