gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000148187,MRRF,mitochondrial ribosome recycling factor,False,MRRF
ENSG00000148200,NR6A1,nuclear receptor subfamily 6 group A member 1,False,NR6A1
ENSG00000148218,ALAD,aminolevulinate dehydratase,False,ALAD
ENSG00000148219,ASTN2,astrotactin 2,False,ASTN2
ENSG00000148225,WDR31,WD repeat domain 31,False,WDR31
ENSG00000148229,POLE3,"DNA polymerase epsilon 3, accessory subunit",False,POLE3
ENSG00000148248,SURF4,surfeit 4,False,SURF4
ENSG00000148288,GBGT1,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)",False,GBGT1
ENSG00000148290,SURF1,SURF1 cytochrome c oxidase assembly factor,False,SURF1
ENSG00000148291,SURF2,surfeit 2,False,SURF2
ENSG00000148296,SURF6,surfeit 6,False,SURF6
ENSG00000148300,REXO4,RNA exonuclease 4,False,REXO4
ENSG00000148303,RPL7A,ribosomal protein L7a,False,RPL7A
ENSG00000148308,GTF3C5,general transcription factor IIIC subunit 5,False,GTF3C5
ENSG00000148331,ASB6,ankyrin repeat and SOCS box containing 6,False,ASB6
ENSG00000148334,PTGES2,prostaglandin E synthase 2,False,PTGES2
ENSG00000148335,NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,False,NTMT1
ENSG00000148337,CIZ1,CDKN1A interacting zinc finger protein 1,False,CIZ1
ENSG00000148339,SLC25A25,solute carrier family 25 member 25,False,SLC25A25
ENSG00000148341,SH3GLB2,"SH3 domain containing GRB2 like, endophilin B2",False,SH3GLB2
ENSG00000148343,MIGA2,mitoguardin 2,False,MIGA2
ENSG00000148344,PTGES,prostaglandin E synthase,False,PTGES
ENSG00000148356,LRSAM1,leucine rich repeat and sterile alpha motif containing 1,False,LRSAM1
ENSG00000148358,GPR107,G protein-coupled receptor 107,False,GPR107
ENSG00000148384,INPP5E,inositol polyphosphate-5-phosphatase E,False,INPP5E
ENSG00000148396,SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor",False,SEC16A
ENSG00000148399,DPH7,diphthamide biosynthesis 7,False,DPH7
ENSG00000148400,NOTCH1,notch receptor 1,False,NOTCH1
ENSG00000148411,NACC2,NACC family member 2,False,NACC2
ENSG00000148426,PROSER2,proline and serine rich 2,False,PROSER2
ENSG00000148429,USP6NL,USP6 N-terminal like,False,USP6NL
ENSG00000148444,COMMD3,COMM domain containing 3,False,COMMD3
ENSG00000148450,MSRB2,methionine sulfoxide reductase B2,False,MSRB2
ENSG00000148459,PDSS1,decaprenyl diphosphate synthase subunit 1,False,PDSS1
ENSG00000148468,FAM171A1,family with sequence similarity 171 member A1,False,FAM171A1
ENSG00000148481,MINDY3,MINDY lysine 48 deubiquitinase 3,False,MINDY3
ENSG00000148484,RSU1,Ras suppressor protein 1,False,RSU1
ENSG00000148498,PARD3,par-3 family cell polarity regulator,False,PARD3
ENSG00000148516,ZEB1,zinc finger E-box binding homeobox 1,False,ZEB1
ENSG00000148541,FAM13C,family with sequence similarity 13 member C,False,FAM13C
ENSG00000148572,NRBF2,nuclear receptor binding factor 2,False,NRBF2
ENSG00000148606,POLR3A,RNA polymerase III subunit A,False,POLR3A
ENSG00000148634,HERC4,HECT and RLD domain containing E3 ubiquitin protein ligase 4,False,HERC4
ENSG00000148655,LRMDA,leucine rich melanocyte differentiation associated,False,LRMDA
ENSG00000148660,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,False,CAMK2G
ENSG00000148672,GLUD1,glutamate dehydrogenase 1,False,GLUD1
ENSG00000148677,ANKRD1,ankyrin repeat domain 1,False,ANKRD1
ENSG00000148680,HTR7,5-hydroxytryptamine receptor 7,False,HTR7
ENSG00000148688,RPP30,ribonuclease P/MRP subunit p30,False,RPP30
