gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000164430,CGAS,CGAS,cyclic GMP-AMP synthase,darkgrey,darkgrey,1
ENSG00000164442,CITED2,CITED2,Cbp/p300 interacting transactivator with ED-rich tail 2,dimgrey,dimgrey,4
ENSG00000164463,CREBRF,CREBRF,CREB3 regulatory factor,darkgrey,darkgrey,1
ENSG00000164465,DCBLD1,DCBLD1,"discoidin, CUB and LCCL domain containing 1",darkgrey,darkgrey,1
ENSG00000164466,SFXN1,SFXN1,sideroflexin 1,dimgrey,dimgrey,4
ENSG00000164483,SAMD3,SAMD3,sterile alpha motif domain containing 3,dimgrey,dimgrey,4
ENSG00000164484,TMEM200A,TMEM200A,transmembrane protein 200A,dimgrey,dimgrey,4
ENSG00000164494,PDSS2,PDSS2,decaprenyl diphosphate synthase subunit 2,brown,brown,0
ENSG00000164506,STXBP5,STXBP5,syntaxin binding protein 5,darkgrey,darkgrey,1
ENSG00000164512,ANKRD55,ANKRD55,ankyrin repeat domain 55,brown,brown,0
ENSG00000164520,RAET1E,RAET1E,retinoic acid early transcript 1E,darkgrey,darkgrey,1
ENSG00000164535,DAGLB,DAGLB,diacylglycerol lipase beta,dimgrey,dimgrey,4
ENSG00000164543,STK17A,STK17A,serine/threonine kinase 17a,firebrick,firebrick,5
ENSG00000164548,TRA2A,TRA2A,transformer 2 alpha homolog,darkgrey,darkgrey,1
ENSG00000164574,GALNT10,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,darkgrey,darkgrey,1
ENSG00000164576,SAP30L,SAP30L,SAP30 like,whitesmoke,whitesmoke,13
ENSG00000164587,RPS14,RPS14,ribosomal protein S14,darkgrey,darkgrey,1
ENSG00000164597,COG5,COG5,component of oligomeric golgi complex 5,dimgrey,dimgrey,4
ENSG00000164603,SAMTOR,SAMTOR,S-adenosylmethionine sensor upstream of mTORC1,darkgrey,darkgrey,1
ENSG00000164604,GPR85,GPR85,G protein-coupled receptor 85,whitesmoke,whitesmoke,13
ENSG00000164609,SLU7,SLU7,spliceosome associated SLU7,brown,brown,0
ENSG00000164610,RP9,RP9,RP9 pre-mRNA splicing factor,dimgrey,dimgrey,4
ENSG00000164611,PTTG1,PTTG1,"PTTG1 regulator of sister chromatid separation, securin",darkgrey,darkgrey,1
ENSG00000164615,CAMLG,CAMLG,calcium modulating ligand,whitesmoke,whitesmoke,13
ENSG00000164619,BMPER,BMPER,BMP binding endothelial regulator,dimgrey,dimgrey,4
ENSG00000164631,ZNF12,ZNF12,zinc finger protein 12,dimgrey,dimgrey,4
ENSG00000164638,SLC29A4,SLC29A4,solute carrier family 29 member 4,dimgrey,dimgrey,4
ENSG00000164647,STEAP1,STEAP1,STEAP family member 1,dimgrey,dimgrey,4
ENSG00000164649,CDCA7L,CDCA7L,cell division cycle associated 7 like,darkgrey,darkgrey,1
ENSG00000164654,MIOS,MIOS,meiosis regulator for oocyte development,dimgrey,dimgrey,4
ENSG00000164659,ELAPOR2,ELAPOR2,endosome-lysosome associated apoptosis and autophagy regulator family member 2,darkgrey,darkgrey,1
ENSG00000164663,USP49,USP49,ubiquitin specific peptidase 49,dimgrey,dimgrey,4
ENSG00000164674,SYTL3,SYTL3,synaptotagmin like 3,darkgrey,darkgrey,1
ENSG00000164683,HEY1,HEY1,hes related family bHLH transcription factor with YRPW motif 1,darkgrey,darkgrey,1
ENSG00000164687,FABP5,FABP5,fatty acid binding protein 5,lightgrey,lightgrey,8
ENSG00000164692,COL1A2,COL1A2,collagen type I alpha 2 chain,lightgrey,lightgrey,8
ENSG00000164707,SLC13A4,SLC13A4,solute carrier family 13 member 4,dimgrey,dimgrey,4
ENSG00000164713,BRI3,BRI3,brain protein I3,dimgrey,dimgrey,4
ENSG00000164715,LMTK2,LMTK2,lemur tyrosine kinase 2,snow,snow,12
ENSG00000164733,CTSB,CTSB,cathepsin B,darkgrey,darkgrey,1
ENSG00000164741,DLC1,DLC1,DLC1 Rho GTPase activating protein,darkgrey,darkgrey,1
