gene_id,dynamic_module,module,module_label
ENSG00000104969,darkgrey,darkgrey,1
ENSG00000104973,darkgrey,darkgrey,1
ENSG00000104976,darkgrey,darkgrey,1
ENSG00000104979,dimgrey,dimgrey,4
ENSG00000104980,whitesmoke,whitesmoke,13
ENSG00000104983,darkgrey,darkgrey,1
ENSG00000105048,dimgrey,dimgrey,4
ENSG00000105053,darkgrey,darkgrey,1
ENSG00000105058,whitesmoke,whitesmoke,13
ENSG00000105063,dimgrey,dimgrey,4
ENSG00000105072,dimgrey,dimgrey,4
ENSG00000105088,darkgrey,darkgrey,1
ENSG00000105127,dimgrey,dimgrey,4
ENSG00000105135,darkgrey,darkgrey,1
ENSG00000105136,darkgrey,darkgrey,1
ENSG00000105137,darkgrey,darkgrey,1
ENSG00000105146,darkgrey,darkgrey,1
ENSG00000105171,dimgrey,dimgrey,4
ENSG00000105173,darkgrey,darkgrey,1
ENSG00000105176,darkgrey,darkgrey,1
ENSG00000105185,dimgrey,dimgrey,4
ENSG00000105186,dimgrey,dimgrey,4
ENSG00000105193,red,red,11
ENSG00000105197,darkgrey,darkgrey,1
ENSG00000105202,dimgrey,dimgrey,4
ENSG00000105219,darkgrey,darkgrey,1
ENSG00000105220,darkgrey,darkgrey,1
ENSG00000105221,darkgrey,darkgrey,1
ENSG00000105223,darkgrey,darkgrey,1
ENSG00000105227,snow,snow,12
ENSG00000105229,whitesmoke,whitesmoke,13
ENSG00000105245,darkgrey,darkgrey,1
ENSG00000105248,darkgrey,darkgrey,1
ENSG00000105254,darkgrey,darkgrey,1
ENSG00000105255,brown,brown,0
ENSG00000105258,whitesmoke,whitesmoke,13
ENSG00000105270,darkgrey,darkgrey,1
ENSG00000105281,dimgrey,dimgrey,4
ENSG00000105287,darkgrey,darkgrey,1
ENSG00000105290,darkgrey,darkgrey,1
ENSG00000105298,darkgrey,darkgrey,1
ENSG00000105321,dimgrey,dimgrey,4
ENSG00000105323,dimgrey,dimgrey,4
ENSG00000105325,dimgrey,dimgrey,4
ENSG00000105327,dimgrey,dimgrey,4
ENSG00000105329,darkgrey,darkgrey,1
ENSG00000105339,dimgrey,dimgrey,4
ENSG00000105341,darkgrey,darkgrey,1
ENSG00000105355,dimgrey,dimgrey,4
ENSG00000105364,dimgrey,dimgrey,4
ENSG00000105372,lightgrey,lightgrey,8
ENSG00000105373,dimgrey,dimgrey,4
ENSG00000105376,dimgrey,dimgrey,4
ENSG00000105379,dimgrey,dimgrey,4
ENSG00000105393,darkgrey,darkgrey,1
ENSG00000105397,darkgrey,darkgrey,1
ENSG00000105401,darkgrey,darkgrey,1
ENSG00000105404,darkgrey,darkgrey,1
ENSG00000105419,dimgrey,dimgrey,4
ENSG00000105426,indianred,indianred,6
ENSG00000105429,darkgrey,darkgrey,1
ENSG00000105438,darkgrey,darkgrey,1
ENSG00000105443,darkgrey,darkgrey,1
ENSG00000105447,darkgrey,darkgrey,1
ENSG00000105464,indianred,indianred,6
ENSG00000105472,darkgrey,darkgrey,1
ENSG00000105483,dimgrey,dimgrey,4
ENSG00000105486,darkgrey,darkgrey,1
ENSG00000105497,dimgrey,dimgrey,4
ENSG00000105499,red,red,11
ENSG00000105514,whitesmoke,whitesmoke,13
ENSG00000105518,indianred,indianred,6
ENSG00000105519,dimgrey,dimgrey,4
ENSG00000105520,darkgrey,darkgrey,1
ENSG00000105538,whitesmoke,whitesmoke,13
ENSG00000105552,indianred,indianred,6
ENSG00000105556,dimgrey,dimgrey,4
ENSG00000105559,darkgrey,darkgrey,1
ENSG00000105568,dimgrey,dimgrey,4
ENSG00000105576,darkgrey,darkgrey,1
ENSG00000105605,darkgrey,darkgrey,1
ENSG00000105607,whitesmoke,whitesmoke,13
ENSG00000105612,darkgrey,darkgrey,1
ENSG00000105617,darkgrey,darkgrey,1
ENSG00000105618,dimgrey,dimgrey,4
ENSG00000105619,dimgrey,dimgrey,4
ENSG00000105639,brown,brown,0
ENSG00000105640,dimgrey,dimgrey,4
ENSG00000105643,whitesmoke,whitesmoke,13
ENSG00000105647,darkgrey,darkgrey,1
ENSG00000105650,brown,brown,0
ENSG00000105655,red,red,11
ENSG00000105656,darkgrey,darkgrey,1
ENSG00000105662,dimgrey,dimgrey,4
ENSG00000105669,darkgrey,darkgrey,1
ENSG00000105671,darkgrey,darkgrey,1
ENSG00000105672,snow,snow,12
ENSG00000105676,dimgrey,dimgrey,4
ENSG00000105677,darkgrey,darkgrey,1
ENSG00000105696,red,red,11
ENSG00000105698,dimgrey,dimgrey,4
ENSG00000105699,dimgrey,dimgrey,4
ENSG00000105700,dimgrey,dimgrey,4
ENSG00000105701,maroon,maroon,9
ENSG00000105705,darkgrey,darkgrey,1
ENSG00000105708,dimgrey,dimgrey,4
ENSG00000105711,darkgrey,darkgrey,1
ENSG00000105717,whitesmoke,whitesmoke,13
ENSG00000105722,darkgrey,darkgrey,1
ENSG00000105723,darkgrey,darkgrey,1
ENSG00000105726,darkgrey,darkgrey,1
ENSG00000105732,dimgrey,dimgrey,4
ENSG00000105738,darkgrey,darkgrey,1
ENSG00000105750,dimgrey,dimgrey,4
ENSG00000105755,darkgrey,darkgrey,1
ENSG00000105767,darkgrey,darkgrey,1
ENSG00000105771,dimgrey,dimgrey,4
ENSG00000105778,firebrick,firebrick,5
ENSG00000105784,dimgrey,dimgrey,4
ENSG00000105792,darkgrey,darkgrey,1
ENSG00000105793,darkgrey,darkgrey,1
ENSG00000105810,whitesmoke,whitesmoke,13
ENSG00000105819,lightgrey,lightgrey,8
ENSG00000105821,snow,snow,12
ENSG00000105825,dimgrey,dimgrey,4
ENSG00000105829,dimgrey,dimgrey,4
ENSG00000105835,darkgrey,darkgrey,1
ENSG00000105849,dimgrey,dimgrey,4
ENSG00000105854,dimgrey,dimgrey,4
ENSG00000105855,maroon,maroon,9
ENSG00000105856,maroon,maroon,9
ENSG00000105865,dimgrey,dimgrey,4
ENSG00000105866,dimgrey,dimgrey,4
ENSG00000105875,darkgrey,darkgrey,1
ENSG00000105877,brown,brown,0
ENSG00000105879,dimgrey,dimgrey,4
ENSG00000105887,lightgrey,lightgrey,8
ENSG00000105889,darkgrey,darkgrey,1
ENSG00000105894,darkgrey,darkgrey,1
ENSG00000105926,maroon,maroon,9
ENSG00000105928,dimgrey,dimgrey,4
ENSG00000105939,dimgrey,dimgrey,4
ENSG00000105948,whitesmoke,whitesmoke,13
ENSG00000105953,dimgrey,dimgrey,4
ENSG00000105963,maroon,maroon,9
ENSG00000105968,dimgrey,dimgrey,4
ENSG00000105971,dimgrey,dimgrey,4
ENSG00000105974,dimgrey,dimgrey,4
ENSG00000105976,dimgrey,dimgrey,4
ENSG00000105982,darkgrey,darkgrey,1
ENSG00000105983,dimgrey,dimgrey,4
ENSG00000105989,lightgrey,lightgrey,8
ENSG00000105991,lightgrey,lightgrey,8
ENSG00000105993,whitesmoke,whitesmoke,13
ENSG00000105996,darkgrey,darkgrey,1
ENSG00000105997,indianred,indianred,6
ENSG00000106003,dimgrey,dimgrey,4
ENSG00000106004,darkgrey,darkgrey,1
ENSG00000106006,darkgrey,darkgrey,1
ENSG00000106009,dimgrey,dimgrey,4
ENSG00000106012,darkgrey,darkgrey,1
ENSG00000106025,maroon,maroon,9
ENSG00000106028,lightgrey,lightgrey,8
ENSG00000106034,indianred,indianred,6
ENSG00000106049,dimgrey,dimgrey,4
ENSG00000106052,darkred,darkred,2
ENSG00000106070,whitesmoke,whitesmoke,13
ENSG00000106077,snow,snow,12
ENSG00000106080,dimgrey,dimgrey,4
ENSG00000106086,lightgrey,lightgrey,8
ENSG00000106089,dimgrey,dimgrey,4
ENSG00000106100,darkgrey,darkgrey,1
ENSG00000106105,lightgrey,lightgrey,8
ENSG00000106125,dimgrey,dimgrey,4
ENSG00000106144,darkgrey,darkgrey,1
ENSG00000106153,darkgrey,darkgrey,1
ENSG00000106211,dimgrey,dimgrey,4
ENSG00000106244,darkgrey,darkgrey,1
ENSG00000106245,darkgrey,darkgrey,1
ENSG00000106246,dimgrey,dimgrey,4
ENSG00000106258,dimgrey,dimgrey,4
ENSG00000106261,darkgrey,darkgrey,1
ENSG00000106263,darkgrey,darkgrey,1
ENSG00000106266,darkgrey,darkgrey,1
ENSG00000106268,dimgrey,dimgrey,4
ENSG00000106290,darkgrey,darkgrey,1
ENSG00000106299,dimgrey,dimgrey,4
ENSG00000106305,dimgrey,dimgrey,4
ENSG00000106330,darkgrey,darkgrey,1
ENSG00000106333,darkgrey,darkgrey,1
ENSG00000106336,dimgrey,dimgrey,4
ENSG00000106344,dimgrey,dimgrey,4
ENSG00000106346,brown,brown,0
ENSG00000106348,darkgrey,darkgrey,1
ENSG00000106351,dimgrey,dimgrey,4
ENSG00000106355,dimgrey,dimgrey,4
ENSG00000106366,lightgrey,lightgrey,8
ENSG00000106367,darkgrey,darkgrey,1
ENSG00000106392,dimgrey,dimgrey,4
ENSG00000106397,darkgrey,darkgrey,1
ENSG00000106399,dimgrey,dimgrey,4
ENSG00000106400,dimgrey,dimgrey,4
ENSG00000106404,darkgrey,darkgrey,1
ENSG00000106415,brown,brown,0
ENSG00000106443,brown,brown,0
ENSG00000106459,lightgrey,lightgrey,8
ENSG00000106460,dimgrey,dimgrey,4
ENSG00000106462,snow,snow,12
ENSG00000106477,darkgrey,darkgrey,1
ENSG00000106479,dimgrey,dimgrey,4
ENSG00000106484,whitesmoke,whitesmoke,13
ENSG00000106511,dimgrey,dimgrey,4
ENSG00000106524,brown,brown,0
ENSG00000106537,dimgrey,dimgrey,4
ENSG00000106538,brown,brown,0
ENSG00000106546,dimgrey,dimgrey,4
ENSG00000106554,dimgrey,dimgrey,4
ENSG00000106565,darkgrey,darkgrey,1
ENSG00000106571,brown,brown,0
ENSG00000106588,dimgrey,dimgrey,4
ENSG00000106591,dimgrey,dimgrey,4
ENSG00000106603,dimgrey,dimgrey,4
ENSG00000106605,dimgrey,dimgrey,4
ENSG00000106608,darkgrey,darkgrey,1
ENSG00000106609,whitesmoke,whitesmoke,13
