node_name,gene_id,gene_symbol,string_gene_label,gene_name,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR
UPF3B,ENSG00000125351,UPF3B,UPF3B,UPF3B regulator of nonsense mediated mRNA decay,dimgrey,MD1_vs_CTR,1,1,2.45979499912539e-06,1.1192112404818704,1.1192112404818704,MD1_vs_CTR,-1.1192112404818704,2.45979499912539e-06,up_in_reference,0,1,,,,,-1.1192112404818704,,,,,2.45979499912539e-06,,,,,up_in_reference
MMP14,ENSG00000157227,MMP14,MMP14,matrix metallopeptidase 14,dimgrey,MC100_vs_MC1,1,1,2.4756837795783147e-06,1.1917260910670493,1.1917260910670493,MC100_vs_MC1,-1.1917260910670493,2.4756837795783147e-06,up_in_reference,0,1,,,-1.1917260910670493,,,,,2.4756837795783147e-06,,,,,up_in_reference,,
SERPINB2,ENSG00000197632,SERPINB2,SERPINB2,serpin family B member 2,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,2.931806053825614e-06,1.1028547499141603,1.0718145132694517,MC100_vs_MC1,1.1028547499141603,2.931806053825614e-06,up_in_tested,1,1,,,1.1028547499141603,-1.040774276624743,,,,2.931806053825614e-06,2.2412994392377625e-05,,,,up_in_tested,up_in_reference,
ASF1A,ENSG00000111875,ASF1A,ASF1A,anti-silencing function 1A histone chaperone,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,3.10984977390978e-06,1.3957633553923032,1.3066481464904953,MC100_vs_MC1,1.3957633553923032,3.10984977390978e-06,up_in_tested,1,3,-1.247080175584512,,1.3957633553923032,-1.370674767410367,-1.213074287574799,8.945819263072253e-05,,3.10984977390978e-06,9.82744571078689e-06,0.0001021132909533,up_in_reference,,up_in_tested,up_in_reference,up_in_reference
PKDCC,ENSG00000162878,PKDCC,PKDCC,"protein kinase domain containing, cytoplasmic",darkgrey,MD1_vs_CTR,1,1,3.339431939754183e-06,1.0230235348618084,1.0230235348618084,MD1_vs_CTR,1.0230235348618084,3.339431939754183e-06,up_in_tested,1,0,,,,,1.0230235348618084,,,,,3.339431939754183e-06,,,,,up_in_tested
HOXB4,ENSG00000182742,HOXB4,HOXB4,homeobox B4,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,3.3779634016665783e-06,1.3682415160413397,1.2929002859835146,MC100_vs_MC1,-1.3682415160413397,3.3779634016665783e-06,up_in_reference,2,1,1.346127898233805,,-1.3682415160413397,1.164331443675399,,1.2592567609378862e-05,,3.3779634016665783e-06,0.0001620143165075,,up_in_tested,,up_in_reference,up_in_tested,
SH3BP5L,ENSG00000175137,SH3BP5L,SH3BP5L,SH3 binding domain protein 5 like,darkgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,3.4493292430350456e-06,1.8599051347007176,1.4746763205297773,MC100_vs_MC1,-1.8599051347007176,3.4493292430350456e-06,up_in_reference,1,1,,,-1.8599051347007176,1.089447506358837,,,,3.4493292430350456e-06,0.0125328666370173,,,,up_in_reference,up_in_tested,
ARPC1A,ENSG00000241685,ARPC1A,ARPC1A,actin related protein 2/3 complex subunit 1A,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,3.821854962016135e-06,1.0679478960196611,1.0508091985818728,MC1_vs_CTR,-1.0679478960196611,4.172808106529427e-06,up_in_reference,1,1,,,1.0336705011440848,-1.0679478960196611,,,,3.821854962016135e-06,4.172808106529427e-06,,,,up_in_tested,up_in_reference,
MRS2,ENSG00000124532,MRS2,MRS2,magnesium transporter MRS2,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,4.5837871614901775e-06,1.3238735245301672,1.2072187540600672,MC100_vs_MC1,1.3238735245301672,4.5837871614901775e-06,up_in_tested,1,1,,,1.3238735245301672,-1.0905639835899672,,,,4.5837871614901775e-06,0.0003527135539781,,,,up_in_tested,up_in_reference,
NF1,ENSG00000196712,NF1,NF1,neurofibromin 1,whitesmoke,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,4.756418325783701e-06,1.4683346565189728,1.1790140563706333,MC100_vs_MC1,-1.4683346565189728,4.756418325783701e-06,up_in_reference,3,1,1.074158265261434,,-1.4683346565189728,1.064065232404161,1.1094980712979652,0.0019230161926471,,4.756418325783701e-06,0.00173842383766,0.001212839464002,up_in_tested,,up_in_reference,up_in_tested,up_in_tested
RNASEH2B,ENSG00000136104,RNASEH2B,RNASEH2B,ribonuclease H2 subunit B,dimgrey,MA100_vs_CTR;MC1_vs_CTR;MD1_vs_CTR,3,3,5.015299282627393e-06,1.3178058568809043,1.1360145887452737,MA100_vs_CTR,-1.3178058568809043,5.015299282627393e-06,up_in_reference,0,3,-1.3178058568809043,,,-1.0695570783870962,-1.0206808309678206,5.015299282627393e-06,,,0.0001913307577809,0.0004317116127735,up_in_reference,,,up_in_reference,up_in_reference
RACGAP1,ENSG00000161800,RACGAP1,RACGAP1,Rac GTPase activating protein 1,dimgrey,MC100_vs_MC1,1,1,5.156467758333923e-06,1.1138391250980633,1.1138391250980633,MC100_vs_MC1,1.1138391250980633,5.156467758333923e-06,up_in_tested,1,0,,,1.1138391250980633,,,,,5.156467758333923e-06,,,,,up_in_tested,,
POLR2K,ENSG00000147669,POLR2K,POLR2K,"RNA polymerase II, I and III subunit K",dimgrey,MC100_vs_MC1,1,1,5.675513908986585e-06,1.0561694299368012,1.0561694299368012,MC100_vs_MC1,1.0561694299368012,5.675513908986585e-06,up_in_tested,1,0,,,1.0561694299368012,,,,,5.675513908986585e-06,,,,,up_in_tested,,
UHRF1,ENSG00000276043,UHRF1,UHRF1,ubiquitin like with PHD and ring finger domains 1,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,6.054021283665647e-06,1.329476910117889,1.1944658912893265,MC100_vs_MC1,1.329476910117889,6.054021283665647e-06,up_in_tested,1,1,,,1.329476910117889,-1.0594548724607638,,,,6.054021283665647e-06,0.0006232812967911,,,,up_in_tested,up_in_reference,
ITPRIPL2,ENSG00000205730,ITPRIPL2,ITPRIPL2,ITPRIP like 2,darkgrey,MA100_vs_CTR,1,1,6.069656390980109e-06,1.1975026640401571,1.1975026640401571,MA100_vs_CTR,1.1975026640401571,6.069656390980109e-06,up_in_tested,1,0,1.1975026640401571,,,,,6.069656390980109e-06,,,,,up_in_tested,,,,
CYTH3,ENSG00000008256,CYTH3,CYTH3,cytohesin 3,darkgrey,MC100_vs_MC1,1,1,6.560678890737895e-06,1.0522866175959886,1.0522866175959886,MC100_vs_MC1,-1.0522866175959886,6.560678890737895e-06,up_in_reference,0,1,,,-1.0522866175959886,,,,,6.560678890737895e-06,,,,,up_in_reference,,
SURF6,ENSG00000148296,SURF6,SURF6,surfeit 6,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,6.991885919960566e-06,2.348830730662692,1.8760649021364728,MA100_vs_CTR,2.348830730662692,6.991885919960566e-06,up_in_tested,2,1,2.348830730662692,,-1.6929047543417834,1.586459221404943,,6.991885919960566e-06,,0.0010693826244571,0.0031300165441598,,up_in_tested,,up_in_reference,up_in_tested,
ATP5PD,ENSG00000167863,ATP5PD,ATP5PD,ATP synthase peripheral stalk subunit d,dimgrey,MA100_vs_CTR,1,1,7.050642120079086e-06,1.0758746836196125,1.0758746836196125,MA100_vs_CTR,-1.0758746836196125,7.050642120079086e-06,up_in_reference,0,1,-1.0758746836196125,,,,,7.050642120079086e-06,,,,,up_in_reference,,,,
DPY30,ENSG00000162961,DPY30,DPY30,dpy-30 histone methyltransferase complex regulatory subunit,dimgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,7.319656466562362e-06,1.2453941682231862,1.1583173820656745,MC100_vs_MC1,1.2453941682231862,7.319656466562362e-06,up_in_tested,1,1,,,1.2453941682231862,-1.0712405959081626,,,,7.319656466562362e-06,0.0002240936345286,,,,up_in_tested,up_in_reference,
ZNF83,ENSG00000167766,ZNF83,ZNF83,zinc finger protein 83,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,8.572983044724838e-06,1.5542438313487874,1.3534619828904464,MC100_vs_MC1,1.5542438313487874,8.572983044724838e-06,up_in_tested,1,2,-1.2638692409073284,,1.5542438313487874,-1.2422728764152229,,0.0008132804132204,,8.572983044724838e-06,0.0007611732757788,,up_in_reference,,up_in_tested,up_in_reference,
KDELR1,ENSG00000105438,KDELR1,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1,darkgrey,MC100_vs_MC1,1,1,1.0073991552607372e-05,1.2196938252870837,1.2196938252870837,MC100_vs_MC1,-1.2196938252870837,1.0073991552607372e-05,up_in_reference,0,1,,,-1.2196938252870837,,,,,1.0073991552607372e-05,,,,,up_in_reference,,
RPS27,ENSG00000177954,RPS27,RPS27,ribosomal protein S27,dimgrey,MC100_vs_MC1,1,1,1.0307254912602872e-05,1.1778304043886614,1.1778304043886614,MC100_vs_MC1,1.1778304043886614,1.0307254912602872e-05,up_in_tested,1,0,,,1.1778304043886614,,,,,1.0307254912602872e-05,,,,,up_in_tested,,
FKBP4,ENSG00000004478,FKBP4,FKBP4,FKBP prolyl isomerase 4,dimgrey,MD1_vs_CTR,1,1,1.038628210739438e-05,1.1920609518062228,1.1920609518062228,MD1_vs_CTR,-1.1920609518062228,1.038628210739438e-05,up_in_reference,0,1,,,,,-1.1920609518062228,,,,,1.038628210739438e-05,,,,,up_in_reference
