gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,neg_log10_padj,is_deg,is_priority_contrast,has_wgcna_module,regulation,selected_priority_deg,string_gene_label
ENSG00000136104,RNASEH2B,ribonuclease H2 subunit B,MA100_vs_CTR,280.21885429216104,-1.317805856853635,0.2317934533506409,-5.68525917278669,1.3061442535406803e-08,5.015320685007758e-06,True,up_in_CTR,dimgrey,dimgrey,11,1.317805856853635,5.299701292498676,True,True,True,up_in_reference,True,RNASEH2B
ENSG00000205730,ITPRIPL2,ITPRIP like 2,MA100_vs_CTR,886.8160719645749,1.1975026641220916,0.2131015892967098,5.619398091183455,1.9162386692020512e-08,6.069685984697497e-06,True,up_in_MA100,gainsboro,gainsboro,13,1.1975026641220916,5.216833776575605,True,True,True,up_in_tested,True,ITPRIPL2
ENSG00000148296,SURF6,surfeit 6,MA100_vs_CTR,125.32596679462269,2.348830730674042,0.4202733336836755,5.58881694940446,2.2862179000872064e-08,6.991885019266702e-06,True,up_in_MA100,dimgrey,dimgrey,11,2.348830730674042,5.15540572223701,True,True,True,up_in_tested,True,SURF6
ENSG00000167863,ATP5PD,ATP synthase peripheral stalk subunit d,MA100_vs_CTR,2715.390494191022,-1.0758746835755324,0.192955399859742,-5.575768723537037,2.4643915915670255e-08,7.050544846970307e-06,True,up_in_CTR,dimgrey,dimgrey,11,1.0758746835755324,5.1517773206129105,True,True,True,up_in_reference,True,ATP5PD
ENSG00000182742,HOXB4,homeobox B4,MA100_vs_CTR,470.7151990069973,1.346127898190583,0.2473357439686783,5.442512580636351,5.25342490518051e-08,1.2592601482174576e-05,True,up_in_MA100,dimgrey,dimgrey,11,1.346127898190583,4.899884540532126,True,True,True,up_in_tested,True,HOXB4
ENSG00000102699,PARP4,poly(ADP-ribose) polymerase family member 4,MA100_vs_CTR,284.0860404937664,-1.203596358739906,0.2286342942562049,-5.264286194052628,1.407350727963414e-07,2.7134333926755477e-05,True,up_in_CTR,dimgrey,dimgrey,11,1.203596358739906,4.566480834688338,True,True,True,up_in_reference,True,PARP4
ENSG00000153140,CETN3,centrin 3,MA100_vs_CTR,3844.029671896229,1.2190726694964438,0.2355890776964145,5.174572104176106,2.284338828310863e-07,3.940714811134876e-05,True,up_in_MA100,dimgrey,dimgrey,11,1.2190726694964438,4.404424993815451,True,True,True,up_in_tested,True,CETN3
ENSG00000143742,SRP9,signal recognition particle 9,MA100_vs_CTR,780.4367655046071,-1.0705739542719377,0.2069763263539554,-5.172446400662857,2.310487881147971e-07,3.940714811134876e-05,True,up_in_CTR,dimgrey,dimgrey,11,1.0705739542719377,4.404424993815451,True,True,True,up_in_reference,True,SRP9
ENSG00000196700,ZNF512B,zinc finger protein 512B,MA100_vs_CTR,211.42790903342316,1.6794474528501442,0.3284448163230035,5.113332192761781,3.165249441031792e-07,4.786561070854636e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.6794474528501442,4.3199763956318336,True,True,True,up_in_tested,True,ZNF512B
ENSG00000137193,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",MA100_vs_CTR,321.1339018942146,1.4287501445672373,0.2797080496037852,5.1080051024312825,3.2557786157344274e-07,4.786561070854636e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.4287501445672373,4.3199763956318336,True,True,True,up_in_tested,True,PIM1
ENSG00000176261,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand,MA100_vs_CTR,579.1139140152945,-1.0280657014463914,0.20403893915039,-5.038575997930669,4.690081886979894e-07,6.399436347019181e-05,True,up_in_CTR,dimgrey,dimgrey,11,1.0280657014463914,4.193858276353518,True,True,True,up_in_reference,True,ZBTB8OS
ENSG00000150779,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B,MA100_vs_CTR,573.3507255463115,-1.3707020250505326,0.2723825635022701,-5.032267878773777,4.847113193453805e-07,6.41627565861818e-05,True,up_in_CTR,dimgrey,dimgrey,11,1.3707020250505326,4.19271698598869,True,True,True,up_in_reference,True,TIMM8B
ENSG00000143398,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,MA100_vs_CTR,866.6591648012283,1.0260818312970577,0.2044876445699684,5.017818232758649,5.226158721424275e-07,6.717507492798825e-05,True,up_in_MA100,darkgrey,darkgrey,7,1.0260818312970577,4.172791840476577,True,True,True,up_in_tested,True,PIP5K1A
ENSG00000188010,MORN2,MORN repeat containing 2,MA100_vs_CTR,275.5946866666245,-1.186902741370636,0.2389974881334488,-4.966172450766118,6.828723647866656e-07,7.968940793806496e-05,True,up_in_CTR,dimgrey,dimgrey,11,1.186902741370636,4.0985993998052725,True,True,True,up_in_reference,True,MORN2
ENSG00000179218,CALR,calreticulin,MA100_vs_CTR,1752.4710872267635,1.2449067402624716,0.2518289975523881,4.9434606513234955,7.674784641690239e-07,8.726623716301376e-05,True,up_in_MA100,gainsboro,gainsboro,13,1.2449067402624716,4.059153749993758,True,True,True,up_in_tested,True,CALR
ENSG00000111875,ASF1A,anti-silencing function 1A histone chaperone,MA100_vs_CTR,194.092920218486,-1.2470801755374894,0.2525157039092442,-4.938624236953191,7.867564809738918e-07,8.832586366781578e-05,True,up_in_CTR,dimgrey,dimgrey,11,1.2470801755374894,4.053912107254761,True,True,True,up_in_reference,True,ASF1A
ENSG00000147684,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,MA100_vs_CTR,299.42319835077035,-1.2557642302463594,0.2593194223799535,-4.84253828240609,1.2819092768565514e-06,0.00012774441996,True,up_in_CTR,dimgrey,dimgrey,11,1.2557642302463594,3.8936580613185585,True,True,True,up_in_reference,True,NDUFB9
ENSG00000197728,RPS26,ribosomal protein S26,MA100_vs_CTR,3114.8667932941553,-1.212003911543515,0.252033758186401,-4.808895126846983,1.5176679716651937e-06,0.0001479142553922,True,up_in_CTR,dimgrey,dimgrey,11,1.212003911543515,3.8299899683977907,True,True,True,up_in_reference,True,RPS26
ENSG00000071082,RPL31,ribosomal protein L31,MA100_vs_CTR,14905.318565251242,-1.0135951934506235,0.211084319174412,-4.801849788818861,1.572066047952015e-06,0.0001499210083794,True,up_in_CTR,dimgrey,dimgrey,11,1.0135951934506235,3.824137505350799,True,True,True,up_in_reference,True,RPL31
ENSG00000157193,LRP8,LDL receptor related protein 8,MA100_vs_CTR,314.2466804249742,1.1960123638931632,0.2528469513819171,4.730183050878969,2.2431748374991346e-06,0.0001930713982363,True,up_in_MA100,dimgrey,dimgrey,11,1.1960123638931632,3.714282058215295,True,True,True,up_in_tested,True,LRP8
ENSG00000168916,ZNF608,zinc finger protein 608,MA100_vs_CTR,255.87879933790205,1.1863258668802774,0.2516397266046141,4.714382275356219,2.424451251728084e-06,0.0002021033027782,True,up_in_MA100,darkgrey,darkgrey,7,1.1863258668802774,3.6944265891733314,True,True,True,up_in_tested,True,ZNF608
ENSG00000030582,GRN,granulin precursor,MA100_vs_CTR,3583.308605118453,1.037159773196399,0.2264086188507016,4.580920012944927,4.6293488822911455e-06,0.0003087044754664,True,up_in_MA100,darkgrey,darkgrey,7,1.037159773196399,3.5104570742552803,True,True,True,up_in_tested,True,GRN
ENSG00000125746,EML2,EMAP like 2,MA100_vs_CTR,1368.2402870910844,1.4349222453170112,0.3150315257135336,4.554852858192432,5.242225968018622e-06,0.0003369079863069,True,up_in_MA100,dimgrey,dimgrey,11,1.4349222453170112,3.472488694071096,True,True,True,up_in_tested,True,EML2
