gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000167110,GOLGA2,golgin A2,MC1_vs_CTR,3611.0617355282666,1.0576197579458106,0.2614783453015424,4.044769966423571,5.237452431699714e-05,0.0013958457329545,True,up_in_MC1,dimgrey,dimgrey,10,1.0576197579458106,True,True,up_in_tested,GOLGA2
ENSG00000130513,GDF15,growth differentiation factor 15,MC1_vs_CTR,1647.6644568469526,1.013444186163132,0.2514907298831491,4.029747683479274,5.5836754690462256e-05,0.0014610617477337,True,up_in_MC1,dimgrey,dimgrey,10,1.013444186163132,True,True,up_in_tested,GDF15
ENSG00000197061,H4C3,H4 clustered histone 3,MC1_vs_CTR,6293.7572275701095,1.592876529672571,0.3972453350450438,4.009805500905264,6.076878328675415e-05,0.0015343229347401,True,up_in_MC1,gainsboro,gainsboro,12,1.592876529672571,True,True,up_in_tested,H4C3
ENSG00000173915,ATP5MK,ATP synthase membrane subunit k,MC1_vs_CTR,2813.111229296565,-1.087193546230209,0.2734575239844049,-3.975730966876636,7.016340973298567e-05,0.0016877822487184,True,up_in_CTR,dimgrey,dimgrey,10,1.087193546230209,True,True,down_in_tested,ATP5MK
ENSG00000253710,ALG11,"ALG11 alpha-1,2-mannosyltransferase",MC1_vs_CTR,286.0956995305089,1.9197423618192275,0.4829481876912487,3.9750482779459744,7.03649808382899e-05,0.0016877822487184,True,up_in_MC1,gainsboro,gainsboro,12,1.9197423618192275,True,True,up_in_tested,ALG11
ENSG00000196712,NF1,neurofibromin 1,MC1_vs_CTR,660.1743600950936,1.063986668955632,0.2683869206908997,3.96437600691064,7.358818389775015e-05,0.0017409149807043,True,up_in_MC1,gainsboro,gainsboro,12,1.063986668955632,True,True,up_in_tested,NF1
ENSG00000072134,EPN2,epsin 2,MC1_vs_CTR,244.3917238055868,1.408507108196839,0.357596744709771,3.938814122427196,8.188533620608311e-05,0.0018673119537639,True,up_in_MC1,gainsboro,gainsboro,12,1.408507108196839,True,True,up_in_tested,EPN2
ENSG00000177352,CCDC71,coiled-coil domain containing 71,MC1_vs_CTR,392.60740839049714,1.1844755424308155,0.3022502248150372,3.9188574405714944,8.896971494906295e-05,0.001974944700733,True,up_in_MC1,dimgrey,dimgrey,10,1.1844755424308155,True,True,up_in_tested,CCDC71
ENSG00000101460,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,MC1_vs_CTR,233.4745960995333,1.1406061689777287,0.2936346997365379,3.8844393050314943,0.0001025663102395,0.0021407499371748,True,up_in_MC1,darkgrey,darkgrey,7,1.1406061689777287,True,True,up_in_tested,MAP1LC3A
ENSG00000140990,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,MC1_vs_CTR,504.0326453880832,-1.1412754841387838,0.2941900394648757,-3.879381797611962,0.0001047222741496,0.002168529585809,True,up_in_CTR,dimgrey,dimgrey,10,1.1412754841387838,True,True,down_in_tested,NDUFB10
